Unnamed: 0,llm_response,emotions
0,"Hello there, I understand you're feeling more fatigued than usual. Fatigue is a common side effect of cancer treatment, especially during chemoradiation. It’s important to rest and stay hydrated. If your fatigue worsens or doesn’t improve, we can discuss it further at your next appointment. Take care, Best, ___<｜end▁of▁sentence｜>","caring, approval, neutral"
1,"Hello there, I understand you're feeling more fatigued than usual. Fatigue is a common side effect of cancer treatment, especially during chemoradiation. It’s important to rest and stay hydrated. If your fatigue worsens or doesn’t improve, we can discuss it further at your next appointment. Take care, Best, ___<｜end▁of▁sentence｜>","caring, approval, neutral"
2,"Hello there, I understand your concern about hair loss. It’s a common side effect of chemotherapy, and I’m sorry you’re experiencing this. To help minimize hair loss, you can use gentle hair care products, avoid harsh treatments, and consider cooling caps if available. Your hair should regrow after treatment ends. Please let me know if you have more questions. Best, [Your Name]<｜end▁of▁sentence｜>","caring, remorse, sadness"
3,"Hello there, I understand your concern about hair loss. It’s a common side effect of chemotherapy, and I’m sorry you’re experiencing this. To help minimize hair loss, you can use gentle hair care products, avoid harsh treatments, and consider cooling caps if available. Your hair should regrow after treatment ends. Please let me know if you have more questions. Best, [Your Name]<｜end▁of▁sentence｜>","caring, remorse, sadness"
4,"Hello there, I'm sorry to hear about your severe diarrhea. It’s important to let your oncology team know so they can provide guidance. In the meantime, stay hydrated and rest. Best, ___<｜end▁of▁sentence｜>","caring, remorse, sadness"
5,"Hello there, I'm sorry to hear about your severe diarrhea. It’s important to let your oncology team know so they can provide guidance. In the meantime, stay hydrated and rest. Best, ___<｜end▁of▁sentence｜>","caring, remorse, sadness"
6,"Hello there, I'm sorry to hear you're experiencing abdominal bloating and discomfort. While this can sometimes be related to treatment, it's important to have it evaluated. Please contact your provider for further assessment. You can speak with me directly if you have more questions. Best, ___<｜end▁of▁sentence｜>","caring, remorse, sadness"
7,"Hello there, I’m sorry to hear about your symptoms. It’s understandable to feel concerned. While some treatment side effects can cause similar symptoms, it’s important to have your oncologist evaluate your condition. Please contact them to discuss your symptoms and schedule an evaluation. Best, Dr. [Your Name]<｜end▁of▁sentence｜>","caring, remorse, approval"
8,"Hello there, I'm sorry to hear about your nausea and vomiting. It's important to let your oncology team know so they can help you feel better. Please reach out to them as soon as you can. Best, ___.","caring, remorse, sadness"
9,"Hello there, I'm sorry to hear about your nausea and vomiting. It's important to let your oncology team know so they can help you feel better. Please reach out to them as soon as you can. Best, ___.","caring, remorse, sadness"
10,"Hello there, I understand your concern about the lower back pain. It’s possible it could be related to your treatment, but it’s important to check for other causes. Please contact our office so we can evaluate and address it. I’m here to help. Best, ___<｜end▁of▁sentence｜>","caring, approval, neutral"
